id	interest_name	facebook_page	facebook_id	url	category	topic	political_bias
18387	"Wales national under-19 football team"	""	-	-	Sports Team	Sports and outdoors	-0.8337
18388	"Rapperswil-Jona Lakers"	""	-	-	Sports Team	Sports and outdoors	-0.2805
18389	"Better Photography magazine"	"Better Photography magazine"	146804934049	www.twitter.com/betterphoto	Magazine	News and entertainment	-0.1186
18390	"El Cruce"	"El Cruce"	108741349213484	http://www.elcrucecolumbia.com	Sports Team	Sports and outdoors	-0.7568
18391	"Cineman\u00eda M\u00e9xico"	"Cineman\u00eda M\u00e9xico"	355723911041	www.cinemania.com.mx	Magazine	News and entertainment	-0.8235
18392	"Kudika.ro"	"Kudika.ro"	104078702963895	http://www.kudika.ro	News & Media Website	News and entertainment	-0.3267
18393	"I Love My Shih Tzu"	"I Love My Shih Tzu"	533912449988518	http://iHeartDogs.com	Entertainment Website	News and entertainment	0.5235
18394	"Tri-City Dust Devils"	"Tri-City Dust Devils"	248844358490896	www.dustdevilsbaseball.com	Sports Team	Sports and outdoors	0.6861
18395	"Front of House Magazine"	""	-	-	Magazine	News and entertainment	-1.2857
18396	"Mark Kermode"	"Mark Kermode"	223473475222	www.bbc.co.uk/blogs/markkermode	Journalist	People	-1.5085
18397	"Joseph O'Connor"	""	-	-	Journalist	People	0.4444
18398	"Bachelor Pad Magazine"	"Bachelor Pad Magazine"	149852232919	http://www.bachelorpadmagazine.com	Magazine	News and entertainment	-0.2740
18399	"The City Hall"	""	-	-	TV Show	News and entertainment	-0.7884
18400	"Feuerwehr-Magazin"	"Feuerwehr-Magazin"	166828616690137	http://www.feuerwehrmagazin.de	News & Media Website	News and entertainment	0.9167
18401	"Dentaltown"	"Dentaltown"	206958074708	http://www.dentaltown.com	Media/News Company	News and entertainment	0.2110
18402	"Italia Living"	"Italia Living"	348213792835	http://www.ItaliaLiving.com	Media/News Company	Lifestyle and culture	0.1591
18403	"Talleres de Remedios de Escalada"	"Talleres de Remedios de Escalada"	104927892885604	-	Sports Team	Sports and outdoors	-0.6756
18404	"Joan Rivers"	""	-	-	Journalist	People	-0.4650
18405	"EscapadaRural"	"EscapadaRural"	187228485187	http://www.escapadarural.com	Website	-	-0.5754
18406	"Alfombra Roja"	"Alfombra Roja"	9746288590	http://www.ar13.cl/	Media/News Company	News and entertainment	-0.6654
18407	"Exame Inform\u00e1tica"	"Exame Inform\u00e1tica"	275735646035	http://www.exameinformatica.pt	Magazine	News and entertainment	-0.6154
18408	"Delaware Fightin' Blue Hens football"	""	-	-	Sports Team	Sports and outdoors	-0.1828
18409	"Willy Brandt"	""	-	-	Journalist	People	-0.1471
18410	"Albany Great Danes"	"Albany Great Danes"	116400748451244	-	Sports Team	Sports and outdoors	0.1818
18411	"Jem and the Holograms"	"Jem and the Holograms"	215152061836436	-	TV Show	News and entertainment	-0.4566
18412	"Kawaii.i"	"Kawaii.i"	207042202670275	http://kawaii-i.com	News & Media Website	News and entertainment	-0.9989
18413	"Sekai-ichi Hatsukoi"	"Sekai-ichi Hatsukoi"	160031064058176	-	TV Show	News and entertainment	-0.9331
18414	"Mojeh Magazine"	"MOJEH Magazine"	138714582858039	http://mojeh.com	Magazine	News and entertainment	-1.0893
18415	"mini cooper"	""	-	-	Magazine	Hobbies and activities	0.4006
18416	"Midwifery Today"	"Midwifery Today"	8350685265	https://www.midwiferytoday.com	Website	-	-0.2163
18417	"Toriko"	"Toriko"	198783280161641	http://toriko.wikia.com/wiki/Toriko_Encyclopedia	TV Show	News and entertainment	-0.7953
18418	"Showtime Championship Boxing"	""	-	-	TV Show	News and entertainment	-0.7651
18419	"Drury Outdoors"	"Drury Outdoors"	127785470597704	www.druryoutdoors.com	TV Show	News and entertainment	1.4098
18420	"UMF Radio"	"UMF Radio"	131748593550730	http://www.umfradio.com	Radio Station	News and entertainment	-0.6844
18421	"minijuegos.com"	"minijuegos.com"	326158494346	http://www.minijuegos.com	Entertainment Website	News and entertainment	-0.8967
18422	"Interesting Engineering"	"Interesting Engineering"	139188202817559	https://www.interestingengineering.com	Media/News Company	Business and industry	-0.0824
18423	"Norwegian Wood (novel)"	""	-	-	Books & Magazines	News and entertainment	-0.5488
18424	"Ducati fan club"	"Ducati fan club"	361292657255496	http://www.facebook.com/bigbikeshopvn	News & Media Website	News and entertainment	-0.5161
18425	"Dealhunter.dk"	"Dealhunter.dk"	371493172933840	http://dealhunter.dk	Website	Technology	-0.4286
18426	"Casarei"	"Casarei"	175883915786417	www.casarei.net	Website	-	-0.6786
18427	"Johann Gottfried Herder"	""	-	-	Journalist	People	-0.1139
18428	"The Racketeer (novel)"	""	-	-	Books & Magazines	News and entertainment	-0.0000
18429	"Bogot\u00e1 electr\u00f3nica"	"Bogot\u00e1 electr\u00f3nica"	35280742377	http://www.bogotaelectronica.com	Entertainment Website	News and entertainment	-1.0239
18430	"Jos\u00e9 Rodrigues dos Santos"	""	-	-	Journalist	People	-1.0000
18431	"Redes"	""	-	-	TV Show	News and entertainment	-0.5000
